Malay,English
musim bunga,spring
musim hujan,rainy season
musim luruh,autumn
pada suatu masa dulu,a long time ago
semasa,during
sejak,since
sebelah,beside
pulangkan sesuatu,bring back something
teroka / jajah,explore
buat terbaik,do the best
padam,erase
terangkan,explain
menjadi,become
tawar-menawar,bargain
elak,avoid
selam,dive
susun / mengatur,arrange
panjat  / daki,climb
tiba / sampai / datang,arrive
tempah,book
pulang,come back
berlakon,do some acting
buat senaman / bersukan,do some sport
lawat sebuah tempat,visit a place
hafal / ingat,memorize
senyum,smile
habiskan masa,spend time
hilang berat badan,lose weight
makan sarapan,have breakfast
sembayang,pray
ambil semula,take again
tunjuk,show
pergi bercuti,make a trip
beritahu,tell
turun,go down
kembara / pergi jalan jauh / melancung,travel
menang / dapat,win / earn
letak,put
lantai,floor
tingkap,window
tangga,stairs
jumpa lagi,see you later
bertentangan,opposite
ke pejabat,to the office
lebih suka,prefer
bapa saudara saya,my uncle
kemudian,later
anda semua,all of you
kepunyaan,belong to
bertenaga,energetic
terkenal,famous
ranggi,fashionable
pemurah,generous
membosankan,boring
tambah,add
berdiri,stand
turun,go down
ambil semula,take again
nanyi,sing
lawat sebuah tempat,visit a place
bawa sesuatu (benda),bring something
percaya,believe
majukan,develop
buat senaman / bersukan,do some sport
antara ,between
sejak,since
semasa,during
malam semalam,last night
pada suatu masa dulu,a long time ago
baru-baru ini,recently
kerap,often
sekali-sekala,from time to time
pada masa lama,for a long timehttps://www.themalaysianist.com/p/hero-to-zero
