Malay,English,,,,,
rumah,house,,,,,
dapur,kitchen,,,,,
ruang tamu,living room,,,,,
ruang makan,dining room,,,,,
bilik tidur,bed room,,,,,
bilik stor,store room,,,,,
bilik mandi,bath room,,,,,
koridor,corridor,,,,,
tandas ,toilet,,,,,
tingkat atas,"loft, attic",,,,,
tingkat bawah,ground floor,,,,,
tingkat satu,first floor,,,,,
tingkat dua,second floor,,,,, 
tingkat tiga,third floor,,,,,
lantai,floor,,,,,
siling,ceiling,,,,,
tangga,stairs,,,,,
pintu,door,,,,,
tingkap,window,,,,,
lif,lift,,,,,
kebun / taman,garden,,,,,
dinding,wall,,,,,
pintu pagar,gate,,,,,
pagar,fence,,,,,
di atas ,upstairs,,,,,
di bawah ,downstairs,,,,,
