Malay,English,,,,,
pejabat bahagian akauntan,account department office,,,,,
kementerian pertanian,agricultural ministry,,,,,
lapangan terbang,airport,,,,,
ATM,ATM,,,,,
kedai roti,bakery,,,,,
bank,bank,,,,,
pantai,beach,,,,,
bistro,bistro,,,,,
kedai buku,bookstore,,,,,
bangunan,building,,,,,
hentian bas,bus stop,,,,,
stesen bas,bus station,,,,,
kedai daging,butchery,,,,, 
kedai kopi,cafe,,,,,
kafeteria,cafeteria,,,,,
kedai gambar/foto,camera shop,,,,,
kantin,canteen,,,,,
casino,casino,,,,,
cinatown,chinatown,,,,,
gereja,church,,,,,
pawagam / panggung,cinema,,,,,
sarkas,circus,,,,,
dewan bandaraya,city hall,,,,,
konsert,concert,,,,,
kaunter,counter,,,,,
luar bandar,countryside,,,,,
mahkamah,court,,,,,
kementerian pertahanan,defense ministry,,,,,
klinik gigi,dentist,,,,,
klinik,clinic (doctor),,,,,
Utura,North,,,,,
Timur,East,,,,,
Selatan,South,,,,,
Barat,West,,,,,
kementerian pelajaran,education ministry,,,,,
kedutaan,embassy,,,,,
pameran,exhibition,,,,,
pesta,fair,,,,,
kedai ikan,fish shop,,,,,
kedai bunga,florist,,,,,
farmasi,pharmacy,,,,,
hutan,forest,,,,,
taman,garden,,,,,
stesen gas / stesen petrol,gas station,,,,,
rumah guard / pondok guard,guard house,,,,,
gim,gym,,,,,
kedai dandan rambut,hair dresser,,,,,
sekolah menengah,high school,,,,,
rumah,home,,,,,
hospital,hospital,,,,,
pejabat imigresen,immigration office,,,,,
hasil pendapatan,income tax,,,,,
kaunter informasi,information counter,,,,,
kedai barang kemas,jeweller,,,,,
karaoke,karaoke,,,,,
KLCC,KLCC,,,,,
kedai dobi,laundry ,,,,,
pejabat peguam,lawyer’s office,,,,,
perpustakaan,library,,,,,
pasaar Little India,Little India,,,,,
pejkabat bahagian pemasaran,marketing department office,,,,,
kementerian,ministry,,,,,
masjid,mosque,,,,,
gunung,mountain,,,,,
pejabat ,office,,,,,
taman,park,,,,,
pastri/bakeri,pastry,,,,,
kaunter bayaran,payment counter ,,,,,
farmasi,pharmacy,,,,,
balai polis,police station,,,,,
pejabat pos,post office ,,,,,
perdana menteri,prime minister,,,,,
kaunter sambut,reception,,,,,
restoran,restaurant,,,,,
sekolah,school,,,,,
laut,sea,,,,,
pantai,beach,,,,,
tepi laut,seaside ,,,,,
kedai kasut,shoe shop,,,,,
pusat membeli belah,shopping centre,,,,,
kedai sukan,sport shop,,,,,
stadium,stadium,,,,,
pasaraya,supermarket,,,,,
kolam renang,swimming pool,,,,,
tokong,temple,,,,,
teater,theater,,,,,
stesen keretapi,train station,,,,,
agensi pelancongan,travel agency,,,,,
universiti,university,,,,,
doktor haiwan,vet,,,,,
pejabat bahagian visa,visa department office,,,,,
barat,water park,,,,,
pasar basah,wet market,,,,,
bengkel,workshop,,,,,
zoo,zoo,,,,,
